"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the mythology endpoint is accessible and returns a 200 OK status code.","192","test_get_mythology_list_success","tests","2026-07-26","passed","2026-07-26","","test_mythology","",""
"Verify that a configured user can login successfully and receive an auth token.","433","test_login_user_success","tests","2026-07-26","passed","2026-07-26","","test_auth","",""
